input_file,time_sec,accuracy
n0001000_partial_50.txt,0.0002078,100.0000
n0001000_partial_80.txt,0.0000628,100.0000
n0001000_random.txt,0.0002803,100.0000
n0001000_sorted_asc.txt,0.0000007,100.0000
n0001000_sorted_desc.txt,0.0001849,100.0000
n0010000_partial_50.txt,0.0088731,100.0000
n0010000_partial_80.txt,0.0034170,100.0000
n0010000_random.txt,0.0194651,100.0000
n0010000_sorted_asc.txt,0.0000064,100.0000
n0010000_sorted_desc.txt,0.0168063,100.0000
